about,週圍
petroleum,石油
platinum,鉑金
plea,懇求
pleaded,承認
pledged,承諾
plot,情節
plotted,繪製
portrayed,刻畫
possession,所有
posteriori,後
postmarked,郵戳
postpone,推遲
poverty,貧窮
precipitation,沉澱
predecessor,前任
preferentially,優先
preferred,首選
preliminary,初步
premise,前提
preserve,保存
preserve,保留
presumably,想必
prevail,戰勝
prevailing,優勢
prompt,提示
prompted,提示
prompting,提示
pronunce,發音
pronunciation,發音
property,?性
proposal,提案
protester,抗議者
pupil,小學生
put to use,使用
quarantine,隔離
racism,種族主義
ran counter to,反對
rationale,合理
readily,容易
reaffirmed,重申
realistically,現實
reception,招待會
reciprocal,倒數
recounted,回憶
redemption,贖回
referred,參考
refrigerated,冷藏
relevant,相應
religious,宗教
remote,遙遠的；偏僻的
render,呈送
render,給予
rendered,呈現
renown,名聲
reportedly,據說
reprehensible,應受譴責
residents,居民
residual,殘留
resolution,決議
resort,度假區
rest,休息
rife,非常多的
rivets,鉚釘
roast,烤
rotation position,旋轉位置
roundup,圍捕
sanctions,制裁
scarce,稀缺
scholarship,獎學金
seam,接縫
sensation,感覺
set up,建立
siphons,虹吸管
skeptical,懷疑的
slew,擺
soak up,吸收
sobbed,抽泣著
soon-to-be,即將會
sorely,非常
spare,備用
speculated,推測
spike,穗
spoiled,壞
squander,揮霍
stadium,體育場
stand-alone,獨立
stand to,站在
stark,鮮明
steep,浸泡；浸透
stemming,詞幹
step down,下台
stigmatized,污名化
stimulus,刺激
strive to,努力
substantive,實質性
suburban,郊區的
supplanted,取代
supreme,最高
surveillance,監控
survey,調查
susceptible,易受影響者
swirling around,旋轉
sympathetic,有同情心
sympathy,同情
taboos,禁忌
tactics,策略
tailored to,量身定做
taken it upon,採取了它
take up,繼續
tales,故事
territory,領土
terrorists,恐怖分子
thematic,專題
thereafter,其後
thrilled,高興
tip,小費
to take to the streets,走上街頭
tournament,比賽
toxic,有毒
tranquilize,使平靜
transmit,發送
trauma,外傷
trendy,新潮
tribe,部落
trivial,瑣細
troop,部隊
turnstiles,入閘
undermine,破壞
undue,過度的
unfolded,展開
unprecedented,史無前例
unrest,動盪
venue,會場
verge,邊緣
vicariously,共鳴
vicinity,附近
violated,違反
violence,暴力
virtual,虛擬
waged,發動
waistband,腰帶
wear resistant,耐磨
weary,厭倦
willingness,願意
wither,枯萎
withering,萎凋
yet,然而
